City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Chokurdakh,RU,2020-08-18 18:06:39,70.63,147.92,32.94,95,88,5.68
164,Mahebourg,MU,2020-08-18 18:06:39,-20.41,57.7,71.6,73,40,13.87
165,Port Elizabeth,ZA,2020-08-18 18:03:06,-33.92,25.57,50.0,81,79,32.21
166,Kawalu,ID,2020-08-18 18:06:39,-7.38,108.21,71.46,91,95,1.99
167,Mayumba,GA,2020-08-18 18:06:39,-3.43,10.66,73.63,89,99,10.11
168,Yerbogachen,RU,2020-08-18 18:06:39,61.28,108.01,49.91,60,0,3.83
169,Lubawa,PL,2020-08-18 18:06:39,53.5,19.75,73.0,62,38,7.87
170,Iskateley,RU,2020-08-18 18:06:40,67.68,53.15,49.32,91,100,14.0
171,Quelimane,MZ,2020-08-18 18:06:40,-17.88,36.89,72.39,78,6,9.04
172,Sao Francisco,BR,2020-08-18 18:06:40,-15.95,-44.86,93.94,23,0,7.11
173,Bethel,US,2020-08-18 18:06:40,41.37,-73.41,81.0,47,1,5.82
174,Praya,CV,2020-08-18 18:06:40,14.92,-23.51,84.2,79,75,9.17
175,Brae,GB,2020-08-18 18:06:40,60.4,-1.35,60.8,93,90,4.7
176,Puro,PH,2020-08-18 18:06:40,12.48,123.38,79.9,82,95,5.95
177,El Fuerte,MX,2020-08-18 18:06:40,26.42,-108.62,90.3,49,92,4.76
178,Ozernovskiy,RU,2020-08-18 18:06:40,51.5,156.52,51.64,82,51,8.99
179,Half Moon Bay,US,2020-08-18 18:06:40,37.46,-122.43,84.99,72,1,12.75
180,Marawi,PH,2020-08-18 18:06:40,8.0,124.29,73.0,95,100,1.99
181,Sur,OM,2020-08-18 18:06:40,22.57,59.53,86.54,64,86,12.41
182,Puerto Leguizamo,CO,2020-08-18 18:06:41,-0.19,-74.78,97.84,41,2,0.74
183,Altay,CN,2020-08-18 18:06:41,47.87,88.12,67.57,45,100,6.49
184,Kautokeino,NO,2020-08-18 18:06:41,69.01,23.04,52.97,72,95,2.51
185,Xiamen,CN,2020-08-18 18:06:41,24.48,118.08,84.2,83,90,4.47
186,Hasaki,JP,2020-08-18 18:02:05,35.73,140.83,77.0,94,75,6.93
187,Maarianhamina,AX,2020-08-18 18:02:00,60.1,19.93,68.0,82,62,5.82
