City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Ribeira Grande,PT,38.52,-28.7,73.4,73,75,4.7,broken clouds
179,Yarovoye,RU,52.93,78.58,55.74,77,92,7.9,overcast clouds
180,Kargasok,RU,59.06,80.86,50.13,97,96,8.43,overcast clouds
181,Panjab,AF,34.39,67.02,52.75,40,0,3.33,clear sky
182,Canillo,AD,42.58,1.67,82.0,14,9,3.56,clear sky
183,Arbuzynka,UA,47.91,31.32,76.03,47,14,9.73,few clouds
184,Bonavista,CA,48.65,-53.11,71.01,57,32,18.99,scattered clouds
185,Capoeiras,BR,-8.73,-36.63,73.45,69,100,13.76,overcast clouds
186,Poum,NC,-20.23,164.02,70.61,75,0,6.46,clear sky
187,Georgetown,MY,5.41,100.34,80.6,94,40,5.82,light rain
188,Saint George,US,37.1,-113.58,99.0,23,1,3.36,clear sky
189,Qaanaaq,GL,77.48,-69.36,40.24,79,77,4.9,broken clouds
190,Dunedin,NZ,-45.87,170.5,46.0,94,100,8.01,light rain
191,Riyadh,SA,24.69,46.72,96.8,18,9,2.24,clear sky
192,Pevek,RU,69.7,170.31,38.91,87,100,2.04,overcast clouds
193,Husavik,IS,66.04,-17.34,48.2,76,1,9.17,clear sky
194,Sakaiminato,JP,35.55,133.23,77.0,88,40,3.36,scattered clouds
195,Caravelas,BR,-17.71,-39.25,73.76,87,54,7.87,light rain
196,Salta,AR,-24.79,-65.41,60.8,19,0,10.29,clear sky
197,Krasnoselkup,RU,65.7,82.47,49.8,85,0,9.66,clear sky
198,Valle Hermoso,MX,25.67,-97.83,95.0,52,75,5.82,broken clouds
199,Fallon,US,39.47,-118.78,91.0,14,0,1.01,clear sky
200,Carnarvon,AU,-24.87,113.63,57.2,100,76,5.82,broken clouds
201,Whitianga,NZ,-36.83,175.7,48.99,98,11,7.7,few clouds
202,Ostrovnoy,RU,68.05,39.51,52.65,91,68,4.07,broken clouds
203,Taltal,CL,-25.4,-70.48,64.33,47,18,7.49,few clouds
204,Mitsamiouli,KM,-11.38,43.28,75.2,78,20,4.7,few clouds
205,Montes Altos,BR,-5.83,-47.07,100.78,18,35,5.53,scattered clouds
206,Kaitangata,NZ,-46.28,169.85,46.0,90,92,5.01,overcast clouds
207,Jaffna,LK,9.67,80.01,80.87,86,99,17.63,overcast clouds
208,Rocha,UY,-34.48,-54.33,56.39,55,0,9.66,clear sky
209,Faanui,PF,-16.48,-151.75,77.63,79,9,24.14,clear sky
210,Villazon,BO,-22.09,-65.59,55.89,26,96,6.64,overcast clouds
211,Skjervoy,NO,70.03,20.97,55.4,82,100,6.93,overcast clouds
212,Dong Hoi,VN,17.48,106.6,78.55,85,98,5.01,light rain
213,Viedma,AR,-40.81,-63.0,73.0,35,0,4.0,clear sky
214,Banda Aceh,ID,5.56,95.32,79.14,80,100,1.07,light rain
215,Inuvik,CA,68.35,-133.72,53.6,93,40,5.82,scattered clouds
216,Boyabat,TR,41.47,34.77,65.25,68,8,6.69,clear sky
217,Richards Bay,ZA,-28.78,32.04,60.69,79,3,0.83,clear sky
218,Danville,US,36.59,-79.39,71.01,94,90,5.82,heavy intensity rain
219,Monte Patria,CL,-30.69,-70.95,77.18,16,0,6.11,clear sky
220,Saldanha,ZA,-33.01,17.94,55.4,76,0,8.05,clear sky
221,Ponta Do Sol,PT,32.67,-17.1,77.0,78,40,10.29,scattered clouds
222,Netivot,IL,31.42,34.59,81.0,73,0,2.8,clear sky
223,Sibolga,ID,1.74,98.78,77.0,84,100,3.53,light rain
224,Troy,US,42.61,-83.15,90.0,35,1,3.36,clear sky
225,Tuatapere,NZ,-46.13,167.68,48.0,97,20,3.0,few clouds
226,Houma,US,29.6,-90.72,93.0,46,40,8.05,scattered clouds
227,Yeniseysk,RU,58.45,92.17,55.76,97,28,4.94,scattered clouds
228,Katsuura,JP,35.13,140.3,80.01,87,2,3.83,clear sky
229,Axim,GH,4.87,-2.24,75.33,87,72,7.38,broken clouds
230,Havre-Saint-Pierre,CA,50.23,-63.6,62.6,63,1,20.8,clear sky
231,Kamenka,RU,51.32,42.77,55.0,62,76,1.01,broken clouds
232,Champerico,GT,14.3,-91.92,87.8,62,40,9.17,scattered clouds
233,Aswan,EG,24.09,32.91,91.74,16,0,11.23,clear sky
234,Radzyn Podlaski,PL,51.78,22.62,73.4,69,20,3.36,few clouds
235,Atikokan,CA,48.76,-91.62,82.47,50,67,4.54,broken clouds
236,Morro Bay,US,35.37,-120.85,84.99,50,90,9.01,smoke
237,Cascais,PT,38.7,-9.42,73.99,64,20,18.34,few clouds
238,Machali,CL,-34.18,-70.67,73.4,23,0,8.05,clear sky
239,Sagae,JP,38.37,140.27,75.0,86,65,0.49,broken clouds
240,Kailua,US,21.4,-157.74,82.4,69,20,12.75,few clouds
241,Mahanoro,MG,-19.9,48.8,67.26,85,0,2.98,clear sky
242,Mahebourg,MU,-20.41,57.7,71.6,64,75,6.93,broken clouds
243,Betsiamites,CA,48.94,-68.65,66.2,59,20,12.75,few clouds
244,Gorontalo,ID,0.54,123.06,74.62,87,100,3.51,overcast clouds
245,Souillac,MU,-20.52,57.52,71.6,64,75,6.93,broken clouds
246,Vila Velha,BR,-20.33,-40.29,71.6,68,75,18.34,broken clouds
247,Nantucket,US,41.28,-70.1,73.4,73,1,14.99,clear sky
248,Garachine,PA,8.06,-78.36,80.92,82,100,9.73,light rain
249,Honiara,SB,-9.43,159.95,75.2,100,20,2.24,few clouds
250,Teguise,ES,29.06,-13.56,80.6,65,20,20.8,few clouds
251,Alyangula,AU,-13.85,136.42,60.8,93,0,4.7,clear sky
252,Lagoa,PT,39.05,-27.98,69.12,62,0,3.76,clear sky
253,Cove,BJ,7.22,2.34,74.62,88,96,4.61,overcast clouds
254,Sitka,US,57.05,-135.33,60.8,77,40,4.7,scattered clouds
255,Kulai,MY,1.66,103.6,79.0,88,20,1.12,few clouds
256,Cabo San Lucas,MX,22.89,-109.91,84.99,78,40,6.93,scattered clouds
257,Adrar,MR,20.5,-10.07,99.93,21,73,20.76,broken clouds
258,Dongsheng,CN,39.82,109.98,64.0,75,63,18.28,broken clouds
259,Portland,US,45.52,-122.68,73.4,73,75,9.17,broken clouds
260,Gizo,SB,-8.1,156.84,82.02,76,68,5.64,light rain
261,Carutapera,BR,-1.2,-46.02,84.65,68,10,9.75,clear sky
262,Nishihara,JP,26.18,127.76,84.2,83,20,3.36,few clouds
263,Port Hardy,CA,50.7,-127.42,57.2,100,90,4.7,light rain
264,Ariyalur,IN,11.13,79.08,82.4,78,75,4.7,broken clouds
265,Taoudenni,ML,22.68,-3.98,108.84,7,36,10.36,scattered clouds
266,Leiyang,CN,26.4,112.86,78.57,90,100,2.28,moderate rain
267,Launceston,AU,-41.45,147.17,37.4,93,90,3.36,overcast clouds
268,Hithadhoo,MV,-0.6,73.08,82.49,80,86,14.29,light rain
269,Cangucu,BR,-31.39,-52.68,60.8,26,0,12.75,clear sky
270,Gravdal,NO,68.12,13.5,59.0,77,20,4.7,few clouds
271,Pervomayskoye,RU,43.92,46.71,69.69,66,100,10.54,overcast clouds
272,Auki,SB,-8.77,160.7,77.41,85,100,3.47,overcast clouds
273,Manggar,ID,-2.88,108.27,81.34,83,100,12.53,overcast clouds
274,Kushima,JP,31.46,131.23,78.01,88,57,3.0,broken clouds
275,Iskateley,RU,67.68,53.15,45.59,95,28,7.09,scattered clouds
276,Lagos,NG,6.58,3.75,74.84,91,100,6.89,overcast clouds
277,Manokwari,ID,-0.87,134.08,78.78,71,24,5.06,light rain
278,Jumla,NP,29.27,82.18,62.82,69,97,0.38,overcast clouds
279,Palembang,ID,-2.92,104.75,74.08,91,100,3.6,overcast clouds
280,Qingdao,CN,36.1,120.37,70.0,94,75,4.47,light rain
