City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Alofi,NU,71.6,clear sky,-19.06,-169.92,Taloa Heights
341,Tual,ID,79.41,light rain,-5.67,132.75,Grand Vilia Hotel
342,Omboue,GA,74.7,overcast clouds,-1.57,9.26,Hotel Olako
343,Nong Chik,TH,77.58,light rain,6.84,101.18,Bakkahland Farm and Resort
344,Hambantota,LK,80.6,broken clouds,6.12,81.12,Bungalow 63
346,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
349,Jertih,MY,75.2,light rain,5.73,102.49,One Utama Hotel
350,Surt,LY,80.46,clear sky,31.21,16.59,City Hotel
351,Iraquara,BR,83.37,clear sky,-12.25,-41.62,Pousada E Restaurante MKE
352,Ambon,ID,78.12,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
353,Chizhou,CN,75.65,broken clouds,30.66,117.48,Home Inn Chizhou Qiupu West Road Xiushanmen Square
355,Dicabisagan,PH,79.54,overcast clouds,17.08,122.42,
356,Kamaishi,JP,70.9,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
359,Bentiu,SS,76.1,clear sky,9.23,29.83,Mandela hôtel
361,Baturaja,ID,72.66,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
365,Faya,SA,78.8,few clouds,18.39,42.45,مقبرة ال مجمل
366,Bambous Virieux,MU,71.6,broken clouds,-20.34,57.76,Casa Tia Villa
367,Bata,GQ,80.6,scattered clouds,1.86,9.77,Hotel Carmen
369,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
372,Tortoli,IT,82.4,clear sky,39.93,9.66,Hotel La Bitta
374,Gorele,TR,73.4,broken clouds,41.03,39.0,Görele Öğretmenevi
376,Maragogi,BR,77.16,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
378,Bubaque,GW,79.79,moderate rain,11.28,-15.83,Casa Dora
382,Conde,BR,82.4,scattered clouds,-7.26,-34.91,Pousada Beija Flor
383,Tire,TR,84.2,clear sky,38.09,27.74,Gülcüoğlu Konakları
385,Santa Rosa,PH,80.6,broken clouds,14.31,121.11,Amethyst Econotel
387,Sioux Lookout,CA,75.2,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
388,Bac Lieu,VN,79.86,scattered clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
392,Benghazi,LY,80.17,clear sky,32.12,20.07,Tibesti Hotel
397,Tecpan,GT,78.8,broken clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
398,Hami,CN,79.07,clear sky,42.8,93.45,Laoyutang Resort
401,Avera,US,82.4,scattered clouds,33.19,-82.53,
403,San Patricio,MX,87.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
404,Luwuk,ID,75.92,clear sky,-0.95,122.79,Hotel Santika Luwuk
406,Cayenne,GF,89.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
407,Barabai,ID,73.04,scattered clouds,-2.58,115.38,Joko Homestay
408,Laguna,US,79.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
411,Pincher Creek,CA,78.01,clear sky,49.48,-113.95,BLUE MOUNTAIN MOTEL
413,Pemba,MZ,75.9,clear sky,-12.97,40.52,Guesthouse Samotina
415,Atlantic City,US,82.99,clear sky,39.36,-74.42,Resorts Casino Hotel
416,Praia Da Vitoria,PT,73.4,broken clouds,38.73,-27.07,Hotel Branco I
417,Luau,AO,80.85,overcast clouds,-10.71,22.22,Kimbo Hotel
418,Itoman,JP,84.2,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
419,Lumeje,AO,72.97,clear sky,-11.55,20.78,
420,Bereda,ES,75.0,clear sky,43.27,-7.54,Pazo de Verdes
423,Hirado,JP,82.0,clear sky,33.36,129.55,Samson Hotel
424,Cardonal,MX,75.94,broken clouds,20.6,-99.13,Hotel Legendario
425,Stabat,ID,78.8,mist,3.76,98.45,Toko Abi
428,Salinopolis,BR,83.05,broken clouds,-0.61,-47.36,Hotel Salinópolis
429,Jasper,US,87.8,scattered clouds,37.2,-94.35,Guest House Motel
433,Lafia,NG,71.73,broken clouds,8.48,8.52,Low Cost Housing Estate
434,Manali,IN,84.2,mist,13.17,80.27,Sarathy Lodge
436,Gharo,PK,82.4,mist,24.74,67.59,Fotis Lodge
439,Chorozinho,BR,84.2,few clouds,-4.3,-38.5,Casa da Mar
440,Garissa,KE,76.8,scattered clouds,-0.45,39.64,Sharif Plaza Hotel
442,Kampong Thum,KH,77.11,light rain,12.71,104.89,Sambor Village Hotel
443,Raga,SS,72.07,broken clouds,8.46,25.68,
444,Jiazi,CN,79.86,overcast clouds,22.88,116.07,Hotel Jin Hao
445,Kutum,SD,77.58,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
446,Veraval,IN,81.97,light rain,20.9,70.37,Lords Inn Somnath
450,Nola,IT,84.2,clear sky,40.92,14.53,Pamaran Hotel
451,Bontang,ID,80.08,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
452,Phuket,TH,86.0,few clouds,8.0,98.25,The Surin Phuket
453,Barcelos,PT,71.01,few clouds,41.54,-8.62,Hotel Do Terço
456,Grand Gaube,MU,70.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
460,Nha Trang,VN,78.8,scattered clouds,12.25,109.18,Hanoi Golden Hotel
463,Lagos De Moreno,MX,75.2,broken clouds,21.35,-101.92,Hotel Galerias
464,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
466,Lasalgaon,IN,74.07,overcast clouds,20.15,74.23,Dhanraj Hotel
467,Gamba,GA,73.83,overcast clouds,-2.65,10.0,
470,Belsand,IN,80.87,light rain,26.45,85.4,R.S.Computer CSC Center
471,Muisne,EC,80.6,broken clouds,0.6,-80.03,Quinta Samay
472,The Valley,AI,86.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
473,Yichang,CN,73.99,overcast clouds,30.71,111.28,Gezhouba Hotel
474,Guangzhou,CN,84.99,broken clouds,23.12,113.25,Guangzhou Hotel
475,Hasaki,JP,75.2,fog,35.73,140.83,Inubosaki Kanko Hotel
476,Dwarka,IN,82.74,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
477,Eyl,SO,77.29,overcast clouds,7.98,49.82,Amiin Hotel
479,Sarangani,PH,82.49,moderate rain,5.4,125.46,Ballistic Islet
481,Weligama,LK,79.68,light rain,5.97,80.42,Weligama Bay Resort
483,Kashi,CN,78.8,few clouds,39.45,75.98,帕米尔青年旅舍
484,Havelock,US,84.99,broken clouds,34.88,-76.9,Sherwood Motel
488,Aksu,CN,76.01,clear sky,41.12,80.26,Pudong Holiday Hotel
490,Kapoeta,SS,81.43,clear sky,4.77,33.59,Eastgate Hotel
492,Sabha,LY,88.23,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
493,Rosa Zarate,EC,80.55,overcast clouds,0.33,-79.47,Piscinas y Recepciones Hecalash
494,High Rock,BS,89.6,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
496,Odweyne,SO,77.52,overcast clouds,9.41,45.06,Eng Hiirey House
497,Goderich,CA,78.01,clear sky,43.75,-81.72,Harmony Inn
500,Glowno,PL,79.0,few clouds,51.96,19.72,Kwatery Pracownicze
504,Nabire,ID,74.61,clear sky,-3.37,135.48,Hotel Nusantara Nabire
505,Ixtapa,MX,84.99,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
507,Safita,SY,78.01,few clouds,34.82,36.12,Safita Cham Hotel
511,Ippy,CF,72.18,moderate rain,6.27,21.22,
515,Cosala,MX,89.96,broken clouds,24.41,-106.69,Hotel Real del Conde
518,Salinas,US,79.0,haze,36.68,-121.66,Good Nite Inn Salinas Monterey
520,Panama City,PA,86.0,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
521,Davidson,US,77.0,light rain,36.15,-86.78,Best Western Plus Music Row
522,Oslomej,MK,78.8,clear sky,41.58,21.0,Villa Bozo
523,Bull Savanna,JM,85.15,broken clouds,17.89,-77.59,Big Red's
524,Da Nang,VN,78.8,few clouds,16.07,108.22,Grand Mercure Danang
527,Isla Aguada,MX,87.8,scattered clouds,18.78,-91.47,Freedom Shores
529,Miraflores,MX,73.4,broken clouds,19.22,-98.81,Hotel Mansión
530,Tanabe,JP,81.0,few clouds,33.73,135.37,美吉屋旅館
531,Tazmalt,DZ,80.6,few clouds,36.39,4.4,Hôtel Numédia
